Category,Title,Price,Bedrooms,Floor Area,Lot Area,URL,Barangay,Town/City,Longitude,Latitude
house,Commercial Residential Single detached House for sale in Kingspoint Subd. Q.C,23000000,3,220,219,https://www.lamudi.com.ph/commercial-residential-single-detached-house-for-s-168759244583.html,Novaliches,Quezon City,121.0521,14.7214
house,Semi Furnished New Townhouse for Sale in West Fairview Commonwealth Quezon City,13000000,3,180,95,https://www.lamudi.com.ph/2-car-garage-townhouse-for-sale-in-tandang-sora-commonwealth-quezon-city.html,Fairview,Quezon City,121.06821,14.702178
house,"150sqm Lot Customized Single Detached House and Lot For Sale in Greenview, Q.C",13000000,5,150,150,https://www.lamudi.com.ph/150sqm-lot-customized-single-detached-house-and-lot-for-sale-in-greenview-q-c.html,Fairview,Quezon City,121.049276,14.695099
house,3 Car Garage 4BR Townhouse for sale in Tandang Sora Quezon City Mindanao Avenue,9850000,4,150,58,https://www.lamudi.com.ph/3-car-garage-4br-townhouse-for-sale-in-tandang-sor-16910293051.html,Tandang Sora,Quezon City,121.042788,14.6820013
house,Affordable Townhouse for sale in Teachers Village Diliman Quezon City nr UP NEW,12900000,3,130,48,https://www.lamudi.com.ph/affordable-townhouse-for-sale-in-teachers-village-169172578452.html,Teachers Village West,Quezon City,121.055725,14.644333
house,Pre-owned Spacious Bungalow House in BF Resort Village Las Piñas City,12000000,3,200,236,https://www.lamudi.com.ph/pre-owned-spacious-bungalow-house-in-bf-resort-vil-168473686183.html,Talon Uno,Las Piñas,120.98468,14.44506
house,2 Storey Mediterranean House For Sale in BF Resort Village Las Piñas City,8500000,3,140,88,https://www.lamudi.com.ph/2-storey-mediterranean-house-for-sale-in-bf-resort-168473698060.html,Talon Uno,Las Piñas,120.99425,14.43278
house,4 Car Garage High Ceiling Spacious Bungalow House For Sale in Pilar Village,15500000,5,260,280,https://www.lamudi.com.ph/4-car-garage-high-ceiling-spacious-bungalow-house-168473759429.html,Pilar,Las Piñas,121.01301,14.42922
house,For Sale Corner Duplex House Spacious And Modern Design In Pilar Village,11358000,4,200,93,https://www.lamudi.com.ph/for-sale-corner-duplex-house-spacious-and-modern-d-169146588375.html,Talon Singko,Las Piñas,120.996723,14.422561
house,Spacious Single Attached House For Sale in Pilar Village Las Piñas,10600000,4,186,130,https://www.lamudi.com.ph/spacious-single-attached-house-for-sale-in-pilar-v-168473669978.html,Pilar,Las Piñas,121.01301,14.42922
house,"4 Car Garage, Spacious Single Attached House For Sale in Pilar Village Las Piñas",17500000,4,269,280,https://www.lamudi.com.ph/4-car-garage-spacious-single-attached-house-for-sa-168473659328.html,Pilar,Las Piñas,121.01301,14.42922
house,Prime Location Spacious 2 Storey Single Attached House in Pilar Village,16800000,7,300,240,https://www.lamudi.com.ph/prime-location-spacious-2-storey-single-attached-h-168473752566.html,Pilar,Las Piñas,121.01301,14.42922
house,Newly Construct 2 Storey Single Attached House For Sale in Pilar Village,12000000,3,150,140,https://www.lamudi.com.ph/newly-construct-2-storey-single-attached-house-for-168473745963.html,Pilar,Las Piñas,121.01301,14.42922
house,"2 Storey House and Lot for Sale near Tagaytay, Nasugbu, Batangas",7604556,3,90,139,https://www.lamudi.com.ph/2-storey-house-and-lot-for-sale-near-tagaytay-nasu-169108907813.html,Kaylaway,Nasugbu,120.810579,14.0778507
house,"For Sale Modern Bungalow House in Bf Resort Village, Las Piñas City",11000000,4,165,180,https://www.lamudi.com.ph/for-sale-modern-bungalow-house-in-bf-resort-villag-168371617053.html,Talon Dos,Las Piñas,120.985214,14.438526
house,5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168389923122.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Corner Modern Design Bungalow House in Pilar Village Las Pinas,8500000,3,100,127,https://www.lamudi.com.ph/corner-modern-design-bungalow-house-in-pilar-villa-168423914396.html,Pilar,Las Piñas,121.01301,14.42922
house,Newly Built Modern Bungalow House in BF Resort Village Las Piñas City,11500000,3,120,180,https://www.lamudi.com.ph/newly-built-modern-bungalow-house-in-bf-resort-vil-168067424984.html,Talon Uno,Las Piñas,120.985214,14.438526
house,"Newly Built Single Attached House For Sale in San Antonio, Las Piñas City",10000000,4,128,150,https://www.lamudi.com.ph/newly-built-single-attached-house-for-sale-in-san-168363085213.html,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,Spacious Bungalow House and Lot for Sale in BF Almanza Las Piñas City,14900000,4,250,296,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-16873255227.html,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,"Spacious Bungalow House and Lot For Sale in BF Almanza, Las Piñas City",17200000,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168371638732.html,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,2 Storey Spacious Townhouse For Sale in BF Resort Village Las Pinas City,8800000,4,189,120,https://www.lamudi.com.ph/2-storey-spacious-townhouse-for-sale-in-bf-resort-167955091257.html,Talon Dos,Las Piñas,120.99425,14.43276
house,Brand New Townhouse near Dona Soledad Ave. with Peaceful Neighborhood,10057000,3,126,77,https://www.lamudi.com.ph/brand-new-house-nad-lot-near-dona-soledad-ave-with-166692436434.html,Don Bosco,Parañaque,121.024909,14.482705
house,Perfect Family Home For Sale in Angela Village Las Piñas City,10000000,4,280,204,https://www.lamudi.com.ph/perfect-family-home-for-sale-in-angela-village-las-pinas-city-6.html,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,"Impressive Modern House and Lot For Sale in BF Homes, Las Piñas",13500000,4,155,179,https://www.lamudi.com.ph/impressive-modern-house-and-lot-for-sale-in-bf-homes-las-pinas-16.html,B.F. International Village,Las Piñas,121.0061146,14.4508188
house,2 Storey Well Maintained Single Attached House in Las Pinas city,10000000,4,280,204,https://www.lamudi.com.ph/2-storey-well-maintained-single-attached-house-in-167629216549.html,Talon Kuatro,Las Piñas,121.00013,14.43739
house,5 BEDROOMS WITH DOUBLE HEIGHT CEILING HOUSE IN BF RESORT VILLAGE LAS PINAS,11500000,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168422160586.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Newly Renovated Modern Bungalow House in Talon Dos Las Piñas City,10000000,3,100,255,https://www.lamudi.com.ph/newly-renovated-modern-bungalow-house-in-talon-dos-168248141882.html,Talon Uno,Las Piñas,120.985214,14.438526
house,2 Storey brand New Modern Design in Las Pinas City near Moonwalk,7600000,4,130,115,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-in-las-pinas-city-168240985592.html,Talon Singko,Las Piñas,120.996723,14.422561
house,Modern Bungalow House In Bf Resort Village Las Piñas City,11000000,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-in-bf-resort-village-las-pi-168362398777.html,Talon Dos,Las Piñas,120.985214,14.438526
house,6 BEDROOMS WITH DOUBLE HEIGHT CEILING HOUSE IN BF RESORT VILLAGE LAS PINAS,18500000,5,295,180,https://www.lamudi.com.ph/6-bedrooms-with-double-height-ceiling-house-in-bf-168422062668.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Ready For Occupancy Single Detached House In Pilar Village Las Pinas City,7200000,4,126,120,https://www.lamudi.com.ph/ready-for-occupancy-single-detached-house-in-pilar-168068840776.html,Pilar,Las Piñas,121.0080137,14.417168
house,2 Storey 4 Bedrooms House for Sale in Gatchalian 2 Las Piñas near C5 Extension,7300000,3,135,69,https://www.lamudi.com.ph/2-storey-4-bedrooms-house-for-sale-in-gatchalian-2-168247991361.html,Manuyo Dos,Las Piñas,120.987483,14.461456
house,2 Storey brand new modern design townhouse for sale in Pilar Village Las Pinas,6899000,3,101,81,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-for-sal-167888812747.html,Pilar,Las Piñas,121.01301,14.42922
house,Reasonable price For Sale Townhouse in Angela Village Las Pinas City,3900000,2,80,55,https://www.lamudi.com.ph/reasonable-price-for-sale-townhouse-in-angela-vill-167629190648.html,Talon Kuatro,Las Piñas,121.00013,14.43739
house,Well Maintained Bungalow Split Level House and Lot in Merville Parañaque,45000000,6,440,504,https://www.lamudi.com.ph/well-maintained-bungalow-split-level-house-and-lot-166692536932.html,Merville,Parañaque,121.025633,14.499387
house,5 Bedrooms Single Brand New House in BF Resort Village Las Piñas City,16000000,5,250,204,https://www.lamudi.com.ph/5-bedrooms-single-brand-new-house-in-bf-resort-vil-168248165173.html,Talon Uno,Las Piñas,120.985214,14.438526
house,5 Bedrooms Brand New Design House in Bf Resort Village Las Piñas City,14000000,5,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168371611861.html,Talon Dos,Las Piñas,120.985214,14.438526
house,For Sale Spacious Modern Design Three (3) Storey Duplex in Royal South Las Piñas,7300000,3,130,52,https://www.lamudi.com.ph/for-sale-spacious-modern-design-three-3-storey-dup-16824058650.html,Talon Singko,Las Piñas,120.996723,14.422561
house,Modern Bungalow House in BF Resort Village Las Piñas City,11000000,4,165,180,https://www.lamudi.com.ph/for-sale-end-unit-modern-design-brand-new-house-in-bf-resort-village-las-pinas-2.html,Talon Uno,Las Piñas,120.987165,14.446596
house,"For Sale Brand New Spacious Bungalow Single Detached House and Lot, Las Piñas",53800000,6,355,782,https://www.lamudi.com.ph/for-sale-brand-new-spacious-bungalow-single-detach-167601173992.html,Talon Dos,Las Piñas,120.985214,14.438526
house,BRAND NEW TOWNHOUSE WITH VERY ACCESSIBLE LOCATION GOING TO SKYWAY,14000000,3,210,120,https://www.lamudi.com.ph/brand-new-townhouse-with-very-accessible-location-168073602992.html,Don Bosco,Parañaque,121.024909,14.482705
house,"Corner Single House and Lot For Sale in BF Resort Village, Las Piñas City",9500000,3,145,128,https://www.lamudi.com.ph/corner-single-house-and-lot-for-sale-in-bf-resort-168147335027.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Well Maintained With Impressive Lay Out House In Bf Resort With Pool,24900000,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168362391198.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Well Maintained With Impressive Lay Out House In Bf Resort With Pool,24900000,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168362391198.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"10% DP (₱ 1,130,000.00) LIPAT AGAD    !!Ready for Occupancy!!",11300000,4,220,121,https://www.lamudi.com.ph/10-dp-1-130-000-00-lipat-agad-ready-for-occupancy-168335571117.html,Pilar,Las Piñas,121.01301,14.42922
house,"5 Bedrooms Brand New Design House in BF Resort Village, Las Piñas City",14000000,5,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168123149734.html,Talon Uno,Las Piñas,120.987165,14.446596
house,"For Sale 5 Bedrooms Single Brand New House in BF Resort Village, Las Piñas City",16000000,5,250,204,https://www.lamudi.com.ph/for-sale-5-bedrooms-single-brand-new-house-in-bf-r-16818159401.html,Talon Dos,Las Piñas,120.985214,14.438526
house,5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168241513047.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"Well Maintained with Impressive Lay Out House in Bf Resort with Pool, Las Piñas",24900000,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168371599765.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"For Sale Brand New Modern Designed Duplex House in Bf Homes, Parañaque City",18300000,4,250,158,https://www.lamudi.com.ph/well-maintained-two-storey-townhouse-for-sale-in-bf-homes-paranaque.html,B.F. Homes,Parañaque,121.0245799,14.4521766
house,5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168362357116.html,Talon Dos,Las Piñas,120.985214,14.438526
house,3 BR Single Attached House and Lot in BF Resort Village Las Piñas City,23000000,3,255,185,https://www.lamudi.com.ph/3-br-single-attached-house-and-lot-in-bf-resort-village-las-pinas-city.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"Affordable Duplex House and Lot for sale in Katarungan Village, Muntinlupa City",4650000,3,84,50,https://www.lamudi.com.ph/affordable-duplex-house-and-lot-for-sale-in-kataru-168323079386.html,Poblacion,Muntinlupa,121.029033,14.385411
house,Spacious Bungalow House and Lot for Sale in BF Almanza Las Piñas City,17000000,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168135218717.html,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,MODERN BUNGALOW HOUSE IN BF RESORT VILLAGE LAS PIÑAS CITY,11000000,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-in-bf-resort-village-las-pi-168232772464.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"Newly Built With Modern Design Bungalow House in BF Resort, Las Piñas City",11500000,4,120,180,https://www.lamudi.com.ph/newly-built-with-modern-design-bungalow-house-in-b-168371591929.html,Talon Dos,Las Piñas,120.985214,14.438526
house,IMPRESSIVE LAY OUT HOUSE IN PHIL-AM VILLAGE WITH SWIMMING POOL LAS PINAS CITY,53800000,5,355,782,https://www.lamudi.com.ph/impressive-lay-out-house-in-phil-am-village-with-s-168422247463.html,Talon Dos,Las Piñas,120.985214,14.438526
house,10-20% Down payment payable in 12 months- 3 storey townhouse for sale,11600000,5,199,112,https://www.lamudi.com.ph/10-20-down-payment-payable-in-12-months-3-storey-t-167647053718.html,Almanza Dos,Las Piñas,121.01709,14.42628
house,"Brand New Single House and Lot in Betterliving, Paranaque City For Sale",23500000,5,350,253,https://www.lamudi.com.ph/brand-new-single-house-and-lot-in-betterliving-par-168250440861.html,Don Bosco,Parañaque,121.024909,14.482705
house,ELEGANT DESIGN SPACIOUS DUPLEX HOUSE IN BF RESORT VILLAGE LAS PINAS CITY. jr,10800000,4,190,102,https://www.lamudi.com.ph/elegant-design-spacious-duplex-house-in-bf-resort-16812637541.html,Talon Uno,Las Piñas,120.987165,14.446596
house,Newly Built Single Brand New House In Bf Resort Village Las Pinas City,11800000,4,222,96,https://www.lamudi.com.ph/newly-built-single-brand-new-house-in-bf-resort-vi-168130314052.html,Talon Dos,Las Piñas,120.985214,14.438526
house,6 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,18500000,5,295,180,https://www.lamudi.com.ph/6-bedrooms-with-double-height-ceiling-house-in-bf-16813030370.html,Talon Dos,Las Piñas,120.985214,14.438526
house,5 bedrooms with brand new design in pilar village las pinas near sm southmall,11300000,4,220,87,https://www.lamudi.com.ph/5-bedrooms-with-brand-new-design-in-pilar-village-168179580689.html,Pilar,Las Piñas,121.0080137,14.417168
house,5 BEDROOMS BRAND NEW DESIGN HOUSE IN BF RESORT VILLAGE LAS PINAS CITY,14000000,4,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168232790482.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Elegant Single Detached House in BF Resort Village Las Piñas City,15000000,3,210,111,https://www.lamudi.com.ph/elegant-single-detached-house-in-bf-resort-village-168248247959.html,Talon Uno,Las Piñas,120.985214,14.438526
house,Newly Built With Modern Design Bungalow House In Bf Resort Las Piñas City,11500000,4,120,180,https://www.lamudi.com.ph/newly-built-with-modern-design-bungalow-house-in-b-168362374283.html,Talon Dos,Las Piñas,120.985214,14.438526
house,NEWLY BUILT WITH MODERN DESIGN BUNGALOW HOUSE IN BF RESORT LAS PIÑAS CITY,11500000,4,120,180,https://www.lamudi.com.ph/newly-built-with-modern-design-bungalow-house-in-b-168422107241.html,Talon Dos,Las Piñas,120.985214,14.438526
house,For Sale Spacious 2 Storey Townhouse near in Robinson Las Piñas City,3900000,2,80,55,https://www.lamudi.com.ph/for-sale-spacious-2-storey-townhouse-near-in-robin-167599507399.html,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,NEWLY BUILT HOUSE IN MARTINVILLE NEAR SOUTHVILLE INTERNATIONAL SCHOOL LAS PINAS,6500000,4,120,80,https://www.lamudi.com.ph/newly-built-house-in-martinville-near-southville-i-168361208629.html,Manuyo Dos,Las Piñas,120.9957576,14.4675605
house,Brand New Single Detached With 5 Bedrooms With Toilet And Bath Each Rooms,25000000,5,308,275,https://www.lamudi.com.ph/brand-new-single-detached-with-5-bedrooms-with-toi-16824931762.html,Don Bosco,Parañaque,121.024909,14.482705
house,2 Storey brand new duplex house in BF almanza executive Village,10500000,4,150,137,https://www.lamudi.com.ph/2-storey-brand-new-duplex-house-in-bf-almanza-exec-167889141083.html,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,ELEGANT DESIGN HOUSE WITH 5 BEDROOMS IN PILAR LAS PINAS NEAR SM SOUTHMALL,11300000,4,220,87,https://www.lamudi.com.ph/elegant-design-house-with-5-bedrooms-in-pilar-las-168379245560.html,Pilar,Las Piñas,121.0080137,14.417168
house,6 BEDROOMS WITH DOUBLE HEIGHT CEILING HOUSE IN BF RESORT VILLAGE LAS PINAS,18500000,5,295,180,https://www.lamudi.com.ph/6-bedrooms-with-double-height-ceiling-house-in-bf-168379168193.html,Talon Uno,Las Piñas,120.987165,14.446596
house,"For Sale 5 Bedrooms Brand New Design House in BF Resort Village, Las Piñas City",14000000,5,225,137,https://www.lamudi.com.ph/for-sale-5-bedrooms-brand-new-design-house-in-bf-r-16806100874.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"For Sale Elegant Single Detached House in BF Resort Village, Las Piñas City",15000000,3,210,111,https://www.lamudi.com.ph/for-sale-elegant-single-detached-house-in-bf-resor-168147343635.html,Talon Dos,Las Piñas,120.985214,14.438526
house,CORNER SINGLE HOUSE AND LOT FOR SALE IN BF RESORT VILLAGE LAS PINAS CITY,9500000,3,145,128,https://www.lamudi.com.ph/corner-single-house-and-lot-for-sale-in-bf-resort-168232848399.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"Modern Bungalow House for sale in BF Resort Village, Las Piñas City",11000000,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-for-sale-in-bf-resort-villag-168123134927.html,Talon Uno,Las Piñas,120.987165,14.446596
house,Brand New Elegant House in Pilar Village Las Piñas near SM Southmall,9800000,3,180,120,https://www.lamudi.com.ph/brand-new-elegant-house-in-pilar-village-las-pi-as-168247612974.html,Pilar,Las Piñas,121.0080137,14.417168
house,For Sale Brand new Modern Design Three (3) Storey Duplex House and Lot,10500000,4,78,208,https://www.lamudi.com.ph/for-sale-brand-new-modern-design-three-3-storey-du-167659573396.html,Talon Singko,Las Piñas,120.996723,14.422561
house,ideal homesSubdivision Townhouse and lot for sale near commonwealth quezon city,7320000,3,132,92,https://www.lamudi.com.ph/ideal-homessubdivision-townhouse-and-lot-for-sale-168381367659.html,Commonwealth,Quezon City,121.082236,14.696697
house,Pre-owned Well Maintained Classic Bungalow with Plunge Pool in Parañaque City,23500000,3,300,408,https://www.lamudi.com.ph/fire-sale-house-and-lot-for-sale-in-ayala-alabang-village-1.html,B.F. Homes,Parañaque,121.0245799,14.4521766
house,For Sale Brand new Modern Design 2 Storey’s Triplex near SM SouthMall Las Piñas,7950000,4,143,80,https://www.lamudi.com.ph/for-sale-brand-new-modern-design-2-storey-s-triple-167662359170.html,Talon Singko,Las Piñas,120.996723,14.422561
house,For sale Modern Design Two Storey Single Attached House SM SouthMall Las Piñas,10800000,4,160,108,https://www.lamudi.com.ph/for-sale-modern-design-two-storey-single-attached-167662405510.html,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,corner single house and lot for sale in bf resort village las pinas city,9500000,3,145,128,https://www.lamudi.com.ph/corner-single-house-and-lot-for-sale-in-bf-resort-168059537790.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Elegant Single Detached House in BF Resort Village Las Piñas City,15000000,3,210,111,https://www.lamudi.com.ph/elegant-single-detached-house-in-bf-resort-village-168067257212.html,Talon Uno,Las Piñas,120.985214,14.438526
house,Modern Bungalow House in BF Resort Village Las Piñas City,11000000,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-in-bf-resort-village-las-pi-168067211913.html,Talon Uno,Las Piñas,120.985214,14.438526
house,Modern Bungalow House In Bf Resort Village Las Piñas City,11000000,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-in-bf-resort-village-las-pi-168147477140.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"Elegant Single Detached House For Sale in BF Resort Village, Las Piñas City",15000000,4,210,111,https://www.lamudi.com.ph/elegant-single-detached-house-for-sale-in-bf-resor-168181591315.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Elegant Single Detached House In Bf Resort Village Las Pinas City,15000000,4,210,111,https://www.lamudi.com.ph/elegant-single-detached-house-in-bf-resort-village-168241458499.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Prime Location Duplex in Las Piñas City Walking Distance to SM Southmall,9800000,3,160,101,https://www.lamudi.com.ph/prime-location-duplex-in-las-pi-as-city-walking-di-168247809838.html,Almanza Uno,Las Piñas,121.0140532,14.4324914
house,Elegant Design Spacious Duplex House In Bf Resort Village Las Pinas City. Jr,10800000,4,190,102,https://www.lamudi.com.ph/elegant-design-spacious-duplex-house-in-bf-resort-16836236616.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"For Sale 5 Bedrooms Single Brand New House in Bf Resort Village, Las Piñas City",16000000,5,250,204,https://www.lamudi.com.ph/for-sale-5-bedrooms-single-brand-new-house-in-bf-r-168363090697.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"Spacious Bungalow House and Lot For Sale in BF Almanza, Las Piñas City",17200000,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168371625490.html,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,"First Class High End Single House in Versailles near Ayala Alabang, Las Piñas",36928000,4,237,278,https://www.lamudi.com.ph/first-class-high-end-single-house-in-versailles-ne-168425522687.html,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,Brand new Townhouse with spacious room near dona soledad,12500000,3,180,120,https://www.lamudi.com.ph/brand-new-townhouse-with-spacious-room-near-dona-s-168966433620.html,Don Bosco,Parañaque,121.024909,14.482705
house,BRAND NEW TOWNHOUSE WITH SPACIOUS ROOM NEAR DONA SOLEDAD,12500000,4,195,135,https://www.lamudi.com.ph/brand-new-townhouse-with-spacious-room-near-dona-s-168063910877.html,Don Bosco,Parañaque,121.024909,14.482705
house,Brand new spacious townhouse for sale in Las Pinas City,8000000,3,110,86,https://www.lamudi.com.ph/brand-new-spacious-townhouse-for-sale-in-las-pinas-167629202350.html,Talon Kuatro,Las Piñas,121.00013,14.43739
house,"25M  Single Detached For Sale in NEOPOLITAN ,  Fairview  QC - Rey Samaniego",25000000,4,300,250,https://www.lamudi.com.ph/single-detached-for-sale-worth-40m-in-casa-milan-fairview-rey-samaniego.html,Fairview,Quezon City,121.06821,14.702178
house,"Newly Built Single Brand New House in BF Resort Village, Las Piñas City",11800000,4,222,96,https://www.lamudi.com.ph/newly-built-single-brand-new-house-in-bf-resort-vi-168061002920.html,Talon Dos,Las Piñas,120.985214,14.438526
house,Newly Built Single Attached House for Sale in San Antonio Las Piñas City,10000000,3,128,150,https://www.lamudi.com.ph/newly-built-single-attached-house-for-sale-in-san-168066679945.html,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,Newly Built Townhouse in Las Piñas City near Robinson Place Las Piñas,6800000,3,120,68,https://www.lamudi.com.ph/newly-built-townhouse-in-las-pi-as-city-near-robin-168066614630.html,Talon Kuatro,Las Piñas,120.9997847,14.4371254
