Category,Title,Price,Region,Bedrooms,Floor Area,Lot Area,URL,Image Link,Barangay,Town/City,Longitude,Latitude
house,5 Bedrooms Single Brand New House in BF Resort Village Las Piñas City,16000000,Metro Manila,5,250,204,https://www.lamudi.com.ph/5-bedrooms-single-brand-new-house-in-bf-resort-vil-168248165173.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c408cce1f42feb.webp,Talon Uno,Las Piñas,120.985214,14.438526
house,5 Bedrooms Brand New Design House in Bf Resort Village Las Piñas City,14000000,Metro Manila,5,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168371611861.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0bca8980dd2338.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,For Sale Spacious Modern Design Three (3) Storey Duplex in Royal South Las Piñas,7300000,Metro Manila,3,130,52,https://www.lamudi.com.ph/for-sale-spacious-modern-design-three-3-storey-dup-16824058650.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ecb0d4423ad1c3.webp,Talon Singko,Las Piñas,120.996723,14.422561
house,Modern Bungalow House in BF Resort Village Las Piñas City,11000000,Metro Manila,4,165,180,https://www.lamudi.com.ph/for-sale-end-unit-modern-design-brand-new-house-in-bf-resort-village-las-pinas-2.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6954f2b4850a8d.webp,Talon Uno,Las Piñas,120.987165,14.446596
house,"For Sale Brand New Spacious Bungalow Single Detached House and Lot, Las Piñas",53800000,Metro Manila,6,355,782,https://www.lamudi.com.ph/for-sale-brand-new-spacious-bungalow-single-detach-167601173992.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/166823c309b1f5.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,BRAND NEW TOWNHOUSE WITH VERY ACCESSIBLE LOCATION GOING TO SKYWAY,14000000,Metro Manila,3,210,120,https://www.lamudi.com.ph/brand-new-townhouse-with-very-accessible-location-168073602992.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e0d4b842d6a086.webp,Don Bosco,Parañaque,121.024909,14.482705
house,"Corner Single House and Lot For Sale in BF Resort Village, Las Piñas City",9500000,Metro Manila,3,145,128,https://www.lamudi.com.ph/corner-single-house-and-lot-for-sale-in-bf-resort-168147335027.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/55096762c22d08.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,Well Maintained With Impressive Lay Out House In Bf Resort With Pool,24900000,Metro Manila,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168362391198.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/32fef50f99e134.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,Well Maintained With Impressive Lay Out House In Bf Resort With Pool,24900000,Metro Manila,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168362391198.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/32fef50f99e134.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,"10% DP (₱ 1,130,000.00) LIPAT AGAD    !!Ready for Occupancy!!",11300000,Metro Manila,4,220,121,https://www.lamudi.com.ph/10-dp-1-130-000-00-lipat-agad-ready-for-occupancy-168335571117.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/393004c416a09e.webp,Pilar,Las Piñas,121.01301,14.42922
house,"5 Bedrooms Brand New Design House in BF Resort Village, Las Piñas City",14000000,Metro Manila,5,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168123149734.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/707b9367daa669.webp,Talon Uno,Las Piñas,120.987165,14.446596
house,"For Sale 5 Bedrooms Single Brand New House in BF Resort Village, Las Piñas City",16000000,Metro Manila,5,250,204,https://www.lamudi.com.ph/for-sale-5-bedrooms-single-brand-new-house-in-bf-r-16818159401.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0c28ff4e0aa577.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,Metro Manila,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168241513047.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0ec0ffd93b1533.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,"Well Maintained with Impressive Lay Out House in Bf Resort with Pool, Las Piñas",24900000,Metro Manila,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168371599765.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e7085c4f53971a.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,"For Sale Brand New Modern Designed Duplex House in Bf Homes, Parañaque City",18300000,Metro Manila,4,250,158,https://www.lamudi.com.ph/well-maintained-two-storey-townhouse-for-sale-in-bf-homes-paranaque.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/66a2d892bc9ec6.webp,B.F. Homes,Parañaque,121.0245799,14.4521766
house,5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,Metro Manila,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168362357116.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2e3fd823b0b20c.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,3 BR Single Attached House and Lot in BF Resort Village Las Piñas City,23000000,Metro Manila,3,255,185,https://www.lamudi.com.ph/3-br-single-attached-house-and-lot-in-bf-resort-village-las-pinas-city.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c36b2f4fb94723.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,"Affordable Duplex House and Lot for sale in Katarungan Village, Muntinlupa City",4650000,Metro Manila,3,84,50,https://www.lamudi.com.ph/affordable-duplex-house-and-lot-for-sale-in-kataru-168323079386.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7417d7eac2752e.webp,Poblacion,Muntinlupa,121.029033,14.385411
house,Spacious Bungalow House and Lot for Sale in BF Almanza Las Piñas City,17000000,Metro Manila,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168135218717.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8a76d0db66cca9.webp,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,MODERN BUNGALOW HOUSE IN BF RESORT VILLAGE LAS PIÑAS CITY,11000000,Metro Manila,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-in-bf-resort-village-las-pi-168232772464.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/38572e90578da0.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,"Newly Built With Modern Design Bungalow House in BF Resort, Las Piñas City",11500000,Metro Manila,4,120,180,https://www.lamudi.com.ph/newly-built-with-modern-design-bungalow-house-in-b-168371591929.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/497bd46695dc5e.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,IMPRESSIVE LAY OUT HOUSE IN PHIL-AM VILLAGE WITH SWIMMING POOL LAS PINAS CITY,53800000,Metro Manila,5,355,782,https://www.lamudi.com.ph/impressive-lay-out-house-in-phil-am-village-with-s-168422247463.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cfb85a0493e12f.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,10-20% Down payment payable in 12 months- 3 storey townhouse for sale,11600000,Metro Manila,5,199,112,https://www.lamudi.com.ph/10-20-down-payment-payable-in-12-months-3-storey-t-167647053718.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a5ffd679c57b93.webp,Almanza Dos,Las Piñas,121.01709,14.42628
house,"Brand New Single House and Lot in Betterliving, Paranaque City For Sale",23500000,Metro Manila,5,350,253,https://www.lamudi.com.ph/brand-new-single-house-and-lot-in-betterliving-par-168250440861.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/194452ec665862.webp,Don Bosco,Parañaque,121.024909,14.482705
house,ELEGANT DESIGN SPACIOUS DUPLEX HOUSE IN BF RESORT VILLAGE LAS PINAS CITY. jr,10800000,Metro Manila,4,190,102,https://www.lamudi.com.ph/elegant-design-spacious-duplex-house-in-bf-resort-16812637541.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b79d5123a66fb5.webp,Talon Uno,Las Piñas,120.987165,14.446596
house,Newly Built Single Brand New House In Bf Resort Village Las Pinas City,11800000,Metro Manila,4,222,96,https://www.lamudi.com.ph/newly-built-single-brand-new-house-in-bf-resort-vi-168130314052.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3c3330c925102e.webp,Talon Dos,Las Piñas,120.985214,14.438526
